Etapa,Total de Pastas,Pastas com Arquivo,Diferença,Pastas Vazias,Pastas c/ Arquivos,Últ. Atualização
Planilha de Reavaliação,1,1,0,Nenhuma,REAVALIAÇÃO,Sem arquivos
Amil - Envio Relatório de Sinistralidade,84,74,10,"ALMADA_PARTICIPACOES_STYLOS ,CONSELHO_FEDERAL_DA_OAB ,DIGISYSTEM ,E-LAW ,FUNDACAO_LICEU_PASTEUR ,GLORY_GLOBAL ,GO_FURTHER ,KASLO ,METAL_WORKS ,TCT_BRASIL","ACTOS ,AGROTIN ,ALVENIUS ,ARBAIT ,ARC_ENGENHARIA ,ARTENAFEX ,ASTORIA ,AULIK_LENOXX ,AUT_SISTEMAS ,BRASAL ,BRAVO_PROJETOS ,CADMUS ,CARVALIMA ,CHACARA_FLORA ,CHEMAX ,CLESS ,CLF_PLASTICOS ,CLUBE_ESPERIA ,CLUBE_PAINEIRAS ,CNAGA ,CONSORCIO_STP ,CROMASTER ,DANFAB_PECAS ,DISAL ,EDAG ,ENGBRAS ,ENGEMATEX ,FREIOS_FARJ ,GENCO ,GLOBALWEB_GWO ,GRUPO_MEMORIAL ,HOTEL_NACIONAL_INN_JARAGUA_LTDA ,INPLAFER ,JMC ,KRJ ,LAKATOS ,LOCCUS ,MARCYN ,MAXXIMED_COMERCIO ,MUSICAL_EXPRESS ,NEGRAO_FERRARI ,NEOQUIM ,NOVA_ALIANCA ,OP_TELECOM ,PLANSERVI ,PLUS_CARGO ,PRESMAK ,PRF ,RESERVA_NOVOS_PARQUES ,RICARDO_ALMEIDA ,RODL ,RSM ,SALA_DE_SOM ,SANTEC ,SAO_RAFAEL ,SARSTEDT ,SCHWING ,SEE_SAW ,SHOEBIZ ,SINAFRESP ,SUMUS ,TECMASTER ,TECNOGEO_GROUND ,TEKLA ,TETRALON ,TILKIAN ,TIVOLITUR ,TSL ,URBE ,VALVUGAS ,VITAE ,VITAT ,VOITEL ,VSOL",Sem arquivos
Bradesco - Envio Relatório de Sinistralidade,2,1,1,CNA,MPD,Sem arquivos
Seguros Unimed - Envio Relatório de Sinistralidade,1,0,1,FCTH,Nenhuma,Sem arquivos
Bradesco (Manual) - Envio Relatório de Sinistralidade,6,6,0,Nenhuma,"ASTORIA ,BRUKER ,ENERGIS8 ,FRAGON ,NINECON ,RD_ADS",Sem arquivos
SulAmérica - Envio Relatório de Sinistralidade,7,0,7,"BBP ,CARLSONS_PRODUTO ,HOTEL_UNIQUE ,ONCOMED ,PIPEK_ADVOGADOS ,POLI_FILTRO ,SCHWING",Nenhuma,Sem arquivos
Unimed Nacional - Envio Relatório de Sinistralidade,1,0,1,GUINDASTES_TATUAPE,Nenhuma,Sem arquivos
Porto Seguro - Envio Relatório de Sinistralidade,21,0,21,"ARAUJO_ENGENHARIA ,ASAM ,BENICIO_ADVOGADOS ,BLUM ,BOTANIQUE_HOTEL ,BRFIBRA ,CIMEMPRIMO ,CM_SOFTWARE ,DASCAM_CORRETORA ,EUROBIKE_BCLV ,FRACTALIA_BASIL ,HOUSI_SA ,HY_CITE ,MAIORH ,NTA ,PERI ,PLANTEC ,RUNTALENT ,R_CELL ,SAO_CAMILO ,STARSOFT_BRASIL",Nenhuma,Sem arquivos
Omint - Envio Relatório de Sinistralidade,1,0,1,SIMOES_PIRES,Nenhuma,Sem arquivos
Omint (manual) - Envio Relatório de Sinistralidade,Caminho não encontrado,,,,,Erro
Hapvida - Envio Relatório de Sinistralidade,1,0,1,GLOBALWEB_GWO,Nenhuma,Sem arquivos
Plena Saúde - Envio Relatório de Sinistralidade,1,0,1,MC_DONALDS,Nenhuma,Sem arquivos
